group_level,principal_label,principal_token_context,page_surface,section,subsection,item_type,item_key,item_label,permission_token,default_state,visibility_rule,notes
1,Owner,ROOT_ADMIN|TENANT_ADMIN,Home,Authority Summary,Core Capabilities,capability,issue_id_keypair,Issue ID Keypair,principal.id_keypair.issue,allow,always-visible,Owner/Tenant admin intrinsic allow
1,Owner,ROOT_ADMIN|TENANT_ADMIN,Home,Authority Summary,Core Capabilities,capability,rotate_id_keypair,Rotate ID Keypair,principal.id_keypair.rotate,allow,always-visible,
1,Owner,ROOT_ADMIN|TENANT_ADMIN,Home,Authority Summary,Core Capabilities,capability,revoke_id_keypair,Revoke ID Keypair,principal.id_keypair.revoke,allow,always-visible,
1,Owner,ROOT_ADMIN|TENANT_ADMIN,Home,Authority Summary,Core Capabilities,capability,issue_utility_keypair,Issue Utility Keypair,principal.utility_keypair.issue,allow,always-visible,
1,Owner,ROOT_ADMIN|TENANT_ADMIN,Delegation & Permissions,Envelope Composer,Grant Controls,permission,create_delegation_grant,Create Delegation Grant,delegation.grant.create,allow,always-visible,
1,Owner,ROOT_ADMIN|TENANT_ADMIN,Delegation & Permissions,Envelope Composer,Grant Controls,permission,revoke_delegation_grant,Revoke Delegation Grant,delegation.grant.revoke,allow,always-visible,
1,Owner,ROOT_ADMIN|TENANT_ADMIN,Delegation & Permissions,Envelope Composer,Grant Controls,permission,inspect_delegation_grants,Inspect Delegation Grants,delegation.grant.inspect,allow,always-visible,
1,Owner,ROOT_ADMIN|TENANT_ADMIN,ID Keypair Minting,Permission Envelope Baseline,Provisioning Locks,permission,lock_primary_template,Primary Issue Locked Template,permission.provisioning.primary_author.issue_locked_template,optional,show-advanced,
1,Owner,ROOT_ADMIN|TENANT_ADMIN,ID Keypair Minting,Permission Envelope Baseline,Provisioning Locks,permission,lock_secondary_template,Secondary Issue Locked Template,permission.provisioning.secondary_author.issue_locked_template,optional,show-advanced,
1,Owner,ROOT_ADMIN|TENANT_ADMIN,ID Keypair Minting,Permission Envelope Baseline,Provisioning Locks,permission,lock_use_template,Use Key Issue Locked Template,permission.provisioning.use_key.issue_locked_template,optional,show-advanced,
2,Primary Author Key Bearer,IDENTITY_OPERATOR,Home,Authority Summary,Core Capabilities,capability,issue_id_keypair,Issue ID Keypair,principal.id_keypair.issue,allow,always-visible,
2,Primary Author Key Bearer,IDENTITY_OPERATOR,Home,Authority Summary,Core Capabilities,capability,rotate_id_keypair,Rotate ID Keypair,principal.id_keypair.rotate,allow,always-visible,
2,Primary Author Key Bearer,IDENTITY_OPERATOR,Home,Authority Summary,Core Capabilities,capability,revoke_id_keypair,Revoke ID Keypair,principal.id_keypair.revoke,allow,always-visible,
2,Primary Author Key Bearer,IDENTITY_OPERATOR,Home,Authority Summary,Core Capabilities,capability,issue_utility_keypair,Issue Utility Keypair,principal.utility_keypair.issue,allow,always-visible,
2,Primary Author Key Bearer,IDENTITY_OPERATOR,Delegation & Permissions,Envelope Composer,Grant Controls,permission,create_delegation_grant,Create Delegation Grant,delegation.grant.create,allow,always-visible,
2,Primary Author Key Bearer,IDENTITY_OPERATOR,Delegation & Permissions,Envelope Composer,Grant Controls,permission,revoke_delegation_grant,Revoke Delegation Grant,delegation.grant.revoke,allow,always-visible,
2,Primary Author Key Bearer,IDENTITY_OPERATOR,Delegation & Permissions,Envelope Composer,Grant Controls,permission,inspect_delegation_grants,Inspect Delegation Grants,delegation.grant.inspect,allow,always-visible,
2,Primary Author Key Bearer,IDENTITY_OPERATOR,ID Keypair Minting,Permission Envelope Baseline,Principal Mint Options,permission,mint_primary_author,Mint Primary Author,principal.primary_author.mint,conditional,show-when-owner-envelope-allows,
2,Primary Author Key Bearer,IDENTITY_OPERATOR,ID Keypair Minting,Permission Envelope Baseline,Principal Mint Options,permission,mint_secondary_author,Mint Secondary Author,principal.secondary_author.mint,allow,always-visible,
2,Primary Author Key Bearer,IDENTITY_OPERATOR,ID Keypair Minting,Permission Envelope Baseline,Principal Mint Options,permission,mint_use_key,Mint Use Key,principal.use_key.mint,allow,always-visible,
3,Secondary Author Key Bearer,DELEGATEE,Home,Authority Summary,Core Capabilities,capability,rotate_id_keypair,Rotate ID Keypair,principal.id_keypair.rotate,conditional,show-when-delegated,
3,Secondary Author Key Bearer,DELEGATEE,Home,Authority Summary,Core Capabilities,capability,rotate_utility_keypair,Rotate Utility Keypair,principal.utility_keypair.rotate,conditional,show-when-delegated,
3,Secondary Author Key Bearer,DELEGATEE,Delegation & Permissions,Envelope Composer,Grant Controls,permission,revoke_delegation_grant,Revoke Delegation Grant,delegation.grant.revoke,conditional,show-when-delegated,
3,Secondary Author Key Bearer,DELEGATEE,Delegation & Permissions,Envelope Composer,Grant Controls,permission,inspect_delegation_grants,Inspect Delegation Grants,delegation.grant.inspect,conditional,show-when-delegated,
3,Secondary Author Key Bearer,DELEGATEE,ID Keypair Minting,Permission Envelope Baseline,Principal Mint Options,permission,mint_nested_secondary,Mint Nested Secondary,principal.secondary_author.mint_nested_secondary,optional,show-advanced,
3,Secondary Author Key Bearer,DELEGATEE,ID Keypair Minting,Permission Envelope Baseline,Principal Mint Options,permission,mint_use_key,Mint Use Key,principal.use_key.mint,conditional,show-when-delegated,
3,Secondary Author Key Bearer,DELEGATEE,ID Keypair Minting,Lifecycle Policy,Issuance Caps,permission,cap_use_per_secondary,Use Key Active Max Per Secondary,issuance.cap.use_key.active_max_per_secondary_author,optional,show-advanced,
4,Use Key Bearer,DELEGATEE|UTILITY_AGENT,Home,Authority Summary,Runtime Capabilities,capability,issue_utility_keypair,Issue Utility Keypair,principal.utility_keypair.issue,conditional,show-when-utility-agent,
4,Use Key Bearer,DELEGATEE|UTILITY_AGENT,Home,Authority Summary,Runtime Capabilities,capability,rotate_utility_keypair,Rotate Utility Keypair,principal.utility_keypair.rotate,conditional,show-when-delegated-or-agent,
4,Use Key Bearer,DELEGATEE|UTILITY_AGENT,Credentials Vault,Utility Keypairs,Lifecycle Actions,permission,suspend_key,Key Lifecycle Suspend,credential.key.lifecycle.suspend,conditional,show-when-delegated,
4,Use Key Bearer,DELEGATEE|UTILITY_AGENT,Credentials Vault,Utility Keypairs,Lifecycle Actions,permission,rotate_key,Key Lifecycle Rotate,credential.key.lifecycle.rotate,conditional,show-when-delegated,
4,Use Key Bearer,DELEGATEE|UTILITY_AGENT,Credentials Vault,Utility Keypairs,Lifecycle Actions,permission,revoke_key,Key Lifecycle Revoke,credential.key.lifecycle.revoke,conditional,show-when-delegated,
4,Use Key Bearer,DELEGATEE|UTILITY_AGENT,Delegation & Permissions,Route Impact Preview,Decision Simulation,permission,simulate_authz,Simulate Authorization Decision,authz.decision.simulate,optional,show-advanced,
4,Use Key Bearer,DELEGATEE|UTILITY_AGENT,Delegation & Permissions,Route Impact Preview,Decision Invocation,permission,invoke_authz,Invoke Authorization Decision,authz.decision.invoke,optional,show-advanced,
